name,format,download_url,downloads,date_text,topic_name,category,post_url,post#
Pivots Year,ex4,https://www.forexfactory.com/attachment/file/2783790?d=1525203178,756,"May 2, 2018 1:33am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11016885#post11016885,586
Pivots Year,mq4,https://www.forexfactory.com/attachment/file/2783791?d=1525203179,850,"May 2, 2018 1:33am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11016885#post11016885,586
Period Converter,ex4,https://www.forexfactory.com/attachment/file/2802348?d=1526334420,759,"May 15, 2018 3:50am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11058708#post11058708,588
WE Pivots,mq4,https://www.forexfactory.com/attachment/file/2802353?d=1526334469,748,"May 15, 2018 3:50am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11058708#post11058708,588
Pair Strength Analyzer,ex4,https://www.forexfactory.com/attachment/file/2802354?d=1526334480,938,"May 15, 2018 3:50am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11058708#post11058708,588
(K) Kijun C-Cross,ex4,https://www.forexfactory.com/attachment/file/2802357?d=1526334487,735,"May 15, 2018 3:50am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11058708#post11058708,588
(H) Heiken Ashi SA,mq4,https://www.forexfactory.com/attachment/file/2802362?d=1526334498,744,"May 15, 2018 3:50am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11058708#post11058708,588
(C) Keltner Channel,mq4,https://www.forexfactory.com/attachment/file/2802366?d=1526334516,740,"May 15, 2018 3:50am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11058708#post11058708,588
(P) WE Pivots,mq4,https://www.forexfactory.com/attachment/file/2802372?d=1526334557,736,"May 15, 2018 3:50am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11058708#post11058708,588
(B) DSS Bressert,mq4,https://www.forexfactory.com/attachment/file/2802375?d=1526334567,785,"May 15, 2018 3:50am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11058708#post11058708,588
TrendPower,mq4,https://www.forexfactory.com/attachment/file/2802378?d=1526334576,1108,"May 15, 2018 3:50am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11058708#post11058708,588
Market Profile,ex4,https://www.forexfactory.com/attachment/file/2804969?d=1526452002,956,"May 16, 2018 12:28pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11064199#post11064199,589
CHART,tpl,https://www.forexfactory.com/attachment/file/2804977?d=1526452066,707,"May 16, 2018 12:28pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11064199#post11064199,589
TEST,tpl,https://www.forexfactory.com/attachment/file/2804978?d=1526452074,718,"May 16, 2018 12:28pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11064199#post11064199,589
TRENDPOWER,tpl,https://www.forexfactory.com/attachment/file/2804980?d=1526452083,778,"May 16, 2018 12:28pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11064199#post11064199,589
zigzag_close,mq4,https://www.forexfactory.com/attachment/file/2806058?d=1526482551,782,"May 16, 2018 8:58pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11066445#post11066445,590
zigzag_close,ex4,https://www.forexfactory.com/attachment/file/2806059?d=1526482552,701,"May 16, 2018 8:58pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11066445#post11066445,590
ZigZagWithValue_Bars,mq4,https://www.forexfactory.com/attachment/file/2806060?d=1526482552,827,"May 16, 2018 8:58pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11066445#post11066445,590
ZigZagWithValue_Bars,ex4,https://www.forexfactory.com/attachment/file/2806061?d=1526482552,758,"May 16, 2018 8:58pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11066445#post11066445,590
WE Pivots,mq4,https://www.forexfactory.com/attachment/file/2810888?d=1526713836,678,"May 19, 2018 1:13pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11076538#post11076538,592
